,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
400,coahuayana,18.62,21.39,97,1.23,94.0
401,ginir,7.14,13.69,61,3.12,87.0
402,plettenberg bay,-34.05,11.63,6,0.75,55.0
403,kibaya,-2.2,18.99,81,0.59,53.0
404,praia da vitoria,38.73,22,75,3.5,94.0
405,pacific grove,36.62,20.83,75,4.1,72.0
406,port elizabeth,39.31,26.27,1,2.12,78.0
407,roquetas de mar,36.76,25.63,0,0.5,47.0
408,lisakovsk,52.55,16.55,0,1.15,72.0
409,horsham,-36.71,12.73,27,5.86,73.0
410,faridpur,23.6,26,75,4.1,94.0
411,amapa,15.09,30,40,3.6,70.0
412,alice springs,-23.7,18,0,6.7,27.0
413,nueve de julio,-31.67,12.47,3,1.06,47.0
414,vila franca do campo,37.72,21.83,90,5.7,100.0
415,kuantan,3.82,26.8,75,1.3,88.0
416,nyurba,63.29,13.3,99,1.65,90.0
418,zverinogolovskoye,54.46,16.89,0,2.39,79.0
419,lubumbashi,-11.66,10.03,0,2.69,74.0
420,tonantins,-2.86,22.55,63,0.78,97.0
421,nizhniy odes,63.64,11.54,100,3.92,97.0
422,eureka,40.8,17.9,1,4.6,72.0
423,mashhad,36.3,20,0,2.1,40.0
424,turbat,26,26.32,57,1.71,74.0
425,luderitz,-26.65,20,0,1.5,48.0
426,dudinka,69.41,13,0,2,93.0
427,pathein,16.78,28.93,86,4.54,81.0
428,nhulunbuy,-12.18,27,0,7.7,34.0
429,flin flon,54.77,15.41,100,5.29,65.0
430,esfarayen,37.08,15,20,1,44.0
432,nushki,29.55,29.13,0,2.59,27.0
433,marzuq,14.4,25.06,0,1.94,50.0
434,phibun mangsahan,15.24,25.47,90,1,94.0
436,kaitangata,-46.28,10.56,60,1.79,73.0
437,cuitareo,19.62,19.02,75,4.6,68.0
439,aripuana,-9.17,26.34,53,0.17,45.0
440,isangel,-19.55,26,75,4.1,61.0
441,lavrentiya,65.58,6.18,100,7.3,78.0
442,maceio,-9.67,22,75,2.1,100.0
443,komsomolskiy,67.55,11.36,72,3.26,88.0
444,broome,52.47,15.45,100,3.1,82.0
445,arroyo,-11.08,25.24,0,0.82,44.0
447,sao felix do xingu,-6.64,25.57,55,1.22,56.0
448,tokat,40.33,14.46,40,1.5,100.0
449,cabra,37.47,23.07,0,2.1,61.0
450,gedo,9.01,14.91,99,0.55,99.0
452,bonthe,7.53,24.41,95,4.04,86.0
453,kiama,-34.67,14.13,0,3.1,40.0
454,hambantota,6.12,25,90,2.1,100.0
455,codrington,-28.95,18.72,40,6.7,39.0
456,lamu,35.77,11.85,100,0.49,93.0
457,zyryanka,65.73,24.82,67,2.12,32.0
458,mizque,-17.94,12.3,81,2.73,64.0
459,akdepe,42.05,21.49,0,4.1,56.0
460,santa cruz,-6.22,20.27,64,5,86.0
461,kupang,-10.16,24.88,0,4.76,68.0
462,gavle,60.67,13.33,69,1.34,87.0
463,anadyr,64.73,10.77,75,3,76.0
464,ardakan,32.31,23,0,1,23.0
465,ingham,-18.65,24.62,0,3.01,27.0
466,helden,51.12,13.23,0,3.6,76.0
467,hammerfest,70.66,7,75,4.1,81.0
468,zhangye,38.94,17.52,100,1.57,52.0
469,san carlos de bariloche,-41.13,3,0,3.1,86.0
470,yumen,40.29,24.94,0,1.63,23.0
471,belaya gora,68.54,21.63,96,5.02,37.0
472,matay,28.42,20.83,0,5.02,84.0
473,abonnema,4.71,24.27,100,5.17,89.0
474,khovu-aksy,51.13,21.08,13,2.95,48.0
475,bilibino,68.06,13.04,0,0.98,42.0
476,vardo,39.62,22.49,75,1.5,83.0
477,smidovich,48.6,17.73,100,6.77,86.0
478,prykolotne,50.16,18.74,99,4.78,95.0
479,pisco,-13.71,16.06,0,4.1,82.0
480,tura,64.27,17.19,11,1.91,50.0
481,nieuw amsterdam,5.88,26.78,0,2.6,88.0
482,ulladulla,-35.36,11.98,0,3.1,40.0
483,fuyu,47.79,18.1,100,5.52,83.0
484,tokonou,9.65,20.25,100,1.02,98.0
487,huarmey,-10.07,14.93,0,3.42,93.0
488,honningsvag,70.98,6.81,100,2.2,75.0
489,zhezkazgan,47.8,12,0,4,81.0
490,wanning,48.64,14.31,17,1.35,88.0
491,westport,41.14,23.85,75,0.93,74.0
492,vao,59.1,13.71,100,4.88,83.0
493,port hedland,-20.31,25,0,4.6,9.0
495,kieta,-6.22,25.45,100,3.98,86.0
496,shelburne,44.08,16.91,1,1,82.0
497,rantauprapat,2.1,23.71,50,1.22,89.0
498,rocha,-34.48,5.69,0,1.52,91.0
499,bol,13.47,26.29,100,4.78,77.0
500,saldanha,41.42,18.65,0,2.84,23.0
501,rivne,50.62,15,100,2.36,90.0
502,alihe,50.57,13.96,100,1.05,96.0
503,sanming,26.24,31.21,0,2.43,55.0
504,paamiut,61.99,4.43,69,8.83,92.0
505,zapadnaya dvina,56.26,9.99,0,1.27,96.0
507,talnakh,69.49,13,0,2,93.0
508,ayan,38.23,12.32,0,2.56,36.0
509,posse,-14.08,27.17,64,4.09,30.0
510,zeya,53.74,21.73,34,1.45,53.0
511,vegreville,53.5,15,0,2.77,67.0
512,pitimbu,-7.47,23,75,4.6,94.0
513,belyy yar,53.6,15,0,1,93.0
515,gornyy,51.76,19.49,7,2.57,76.0
516,amol,36.47,24,0,2.1,83.0
517,port lincoln,-34.72,14.21,0,11.09,67.0
518,vetluga,57.85,11.66,34,3.28,97.0
519,mukhtolovo,55.47,12.37,50,2.04,96.0
520,zhuhai,40.71,19,20,1,59.0
521,cabedelo,-6.97,23,75,4.6,94.0
522,mednogorsk,51.41,17.44,0,1.41,58.0
523,saint-francois,46.42,10.41,0,0.5,93.0
524,road town,18.42,26.64,1,5.1,83.0
525,kodinsk,58.6,18.29,100,3.1,57.0
526,marienburg,52.12,12.37,0,1.01,81.0
527,thinadhoo,0.53,28.18,100,1.1,64.0
528,plymouth,50.37,13.76,20,1.5,93.0
529,chapais,49.78,11,20,2.1,87.0
530,birao,10.3,22,100,1.45,91.0
531,kurali,30.83,28,75,0.5,88.0
532,sao domingos,-13.4,26.24,48,2.14,32.0
533,cockburn town,21.46,28.66,69,9.01,79.0
534,oktyabrskiy,55.61,12.1,0,2,87.0
535,tromso,69.65,8.21,75,5.1,87.0
